time,state,smoothing,residuals,variance,ac1,relaxation_time,R_squared,variance_rolling_avg,ac1_rolling_avg,relaxation_time_rolling_avg
315,-0.0071827030486548,-0.0017706358187080183,-0.005412067229946782,0.0005842111398755087,-0.5107414061969011,-0.4534141824935283,0.9955500691715045,0.0005555920184909729,-0.4866502691705826,-0.4211212383047076
316,-0.0055717035479637,-0.0018039791918230414,-0.0037677243561406587,0.0005834315530115798,-0.5113886462544499,-0.454959813741915,0.9956477773972897,0.0005570572571499522,-0.48795228901710197,-0.42290221595929745
317,0.0102807454385582,-0.001837831925868197,0.012118577364426397,0.0005839390988738211,-0.5114048414566822,-0.45640242225391625,0.9957521158492659,0.0005584720909248927,-0.48918663388234307,-0.42466538471164583
318,0.024919300865314,-0.0018715122002045043,0.026790813065518504,0.0005868008084895198,-0.5078962817880833,-0.45775878500317446,0.9958670361602059,0.0005599630760598732,-0.4901713521931715,-0.4264071426217263
319,-0.0005913332677327,-0.001904486180377676,0.001313152912644976,0.0005865052590251942,-0.5105145665184976,-0.4593039644640209,0.9959881568669124,0.000561360033058048,-0.49124204768397817,-0.4281385542976366
320,0.0086578783450468,-0.001936260012610123,0.010594138357656923,0.000568886424742767,-0.5182975567908187,-0.46121080986125634,0.9961201431625847,0.0005617561589361911,-0.49266602184749614,-0.42987919932730084
321,-0.0036483182571344,-0.001966300532901415,-0.0016820177242329848,0.0005688965464433456,-0.5191209735870138,-0.46312672335945076,0.9962458645875669,0.0005621319688049887,-0.49405838772852345,-0.43162906901320347
322,0.0032901175088254,-0.0019942163563416095,0.00528433386516701,0.0005669774345628016,-0.5170924967325511,-0.46503519103259106,0.9963914223646684,0.0005623869933185578,-0.49527070925505123,-0.4333872859615923
323,-0.0121146161449626,-0.0020198362144937775,-0.010094779930468822,0.0005644623159248791,-0.5164899324314967,-0.4669303851958867,0.996538426502834,0.0005624962208241537,-0.4963875104748642,-0.4351527122370815
324,0.0213373719199401,-0.002043160480483105,0.023380532400423204,0.0005660593029820822,-0.5190042182715954,-0.4688534969084769,0.9966784719940278,0.0005626837514640447,-0.4975778635167974,-0.43692643774610235
325,-0.0657171404070664,-0.0020645177127725416,-0.06365262269429386,0.0005813636634793849,-0.5208361075956915,-0.47072733733502015,0.9968099242210028,0.00056366690472801,-0.4988019816262129,-0.43870543246130855
326,0.0227746151784631,-0.0020841010356029135,0.024858716214066014,0.0005836320404837378,-0.5250010501631106,-0.47256377529979615,0.9969130583853317,0.0005647177013467325,-0.5001808799702602,-0.4404874505054395
327,-0.0264515329889562,-0.0021022682629744595,-0.024349264725981742,0.0005847159025678531,-0.5301701973534432,-0.47454452315734025,0.9970146553269345,0.0005657702382531073,-0.5017592650956909,-0.44227992801343435
328,0.0191356766443189,-0.0021192242386193654,0.021254900882938268,0.0005853909984956669,-0.5317416583688203,-0.4766174857360418,0.9971293796051507,0.000566802909844821,-0.5033372857942767,-0.4440871678935716
329,-0.0216794353626798,-0.002135427260147749,-0.01954400810253205,0.0005867408318691884,-0.534356138321447,-0.478787079844865,0.9972387841566324,0.000567852274161893,-0.5049698569799173,-0.4459134790489029
330,0.0075499216676676,-0.002151249832727572,0.009701171500395171,0.0005809860350669266,-0.5336836705581326,-0.4808116471764461,0.9973271617437698,0.0005685435247358421,-0.5064811103261391,-0.44775022473982623
331,0.016110524542617,-0.002167026193550033,0.018277550736167034,0.0005812748087528192,-0.5303675964301263,-0.48256869243954176,0.9974016720709236,0.0005692135923156831,-0.5077382938052963,-0.44958277567139027
332,-0.0122425453201762,-0.0021829757495254332,-0.010059569570650767,0.0005793898451993633,-0.5304213360406163,-0.4842768144361748,0.9974775363541768,0.0005697491845727189,-0.508932138133471,-0.4514087777116421
333,0.0078468319123619,-0.0021992955752723692,0.010046127487634268,0.0005794501913583209,-0.5304747072160844,-0.4858247804031162,0.997531268124149,0.0005702597638772243,-0.5100659575588717,-0.45322014627435125
334,-0.0113561310186553,-0.0022160878141131305,-0.009140043204542168,0.0005766745287577663,-0.5355610695897655,-0.48727134424693747,0.9975684736356775,0.0005705973830814634,-0.5114078055604977,-0.4550123145886979
335,-0.0014545540566212,-0.0022334959710992286,0.0007789419144780287,0.000575743657445867,-0.5389946200293344,-0.4887446714045951,0.9975930853340634,0.0005708682396269583,-0.5128597431641208,-0.4567877017895346
336,-0.0027433241712125,-0.0022516408741320637,-0.0004916832970804363,0.0005739797414179309,-0.5376219002942537,-0.49025429970157725,0.9976100922721313,0.0005710320028791148,-0.5141630145920225,-0.45854910167964213
337,0.0060025587549519,-0.002270595918909724,0.008273154673861624,0.0005726489850747982,-0.5414478265674477,-0.49181964616845536,0.9976302726836652,0.0005711171072052034,-0.5155990573275713,-0.4603001829685271
338,0.0261349433690221,-0.002290454263065954,0.028425397632088054,0.0005746526683952358,-0.5367040287071452,-0.49331234658209394,0.9976476430394849,0.0005713031893730999,-0.5167098452949173,-0.46203766526397805
339,-0.0124284412985492,-0.002311455010793732,-0.010116986287755467,0.0005731759425210336,-0.5384060779708729,-0.49474752309750486,0.9976590875161968,0.0005714017553282544,-0.5178517522778623,-0.4637592367289005
340,-0.0152531461781495,-0.0023335786911139354,-0.012919567487035565,0.0005737349236170011,-0.5370310974323256,-0.49599818494836234,0.9976895254778928,0.0005715245536592411,-0.5188611914965183,-0.46545602347729326
341,0.0081350014367243,-0.0023569146757307004,0.010491916112455,0.0005738822053399824,-0.5374040251968023,-0.49684330615170585,0.9976987956912259,0.0005716486405898065,-0.5198371301123228,-0.46710798572331497
342,-0.0122056871980791,-0.0023814251840300785,-0.009824262014049021,0.0005741723680199313,-0.5383954820495283,-0.4970738668827518,0.9976906915007762,0.0005717814683492868,-0.5208138854774389,-0.4686851373632854
343,-0.0188721303204835,-0.0024072242590285025,-0.016464906061455,0.0005745583376369656,-0.5395441561564264,-0.49723318650391946,0.9976752081417386,0.0005719276193644279,-0.5217996891973856,-0.470187666265424
344,-0.0298836493753362,-0.0024341688799761137,-0.027449480495360088,0.000575788539102409,-0.5357506909465946,-0.4977197527828921,0.9976878502705572,0.0005721308256664268,-0.522533952447344,-0.4716367234505539
345,0.0303383284959479,-0.002462105441228777,0.03280043393717667,0.0005802940538299368,-0.5391248315534318,-0.4981125685768626,0.9976737191132318,0.00057256046925398,-0.5234071566108224,-0.47303018898351756
346,-0.0080144518236532,-0.002491018265198575,-0.005523433558454625,0.0005795182022295655,-0.5381670032319779,-0.49847844261156643,0.9976498955581885,0.0005729266657263793,-0.5241839906435148,-0.4743695707534149
347,0.0222144066031408,-0.002520799350893912,0.024735205954034712,0.0005820641113134791,-0.538701517583911,-0.49882055221765903,0.9976600096406295,0.000573407583915174,-0.5249480710087989,-0.4756564645146909
348,-0.0213477760748492,-0.0025513087543688824,-0.018796467320480317,0.0005798820899143432,-0.5415003518378192,-0.49923778726002505,0.9976699756649268,0.0005737483473888146,-0.5258192436840106,-0.4768975867644454
349,0.033578101230792,-0.002582445120435093,0.0361605463512271,0.0005853469730257561,-0.5431049635137781,-0.4998625629755573,0.9976835202171176,0.0005743588013697062,-0.5267290184118931,-0.47810626972292497
350,-0.0176167056047507,-0.0026138691882458165,-0.015002836416504885,0.0005856643883252462,-0.5432497182256565,-0.5006338151128785,0.9977087507826923,0.0005749538322621031,-0.527598528928407,-0.47929193000660675
351,0.0281181243294256,-0.002645343695384549,0.03076346802481015,0.0005875683933232923,-0.5455313158401633,-0.5016939196029394,0.9977564347065752,0.0005756177565284814,-0.5285423598184994,-0.4804709820906243
