omega,lambda=-0.125,lambda=-0.5,lambda=-0.75,lambda=-0.875
-1.3899999999999997,0.15006431060557468,0.1113117208873833,0.08686456289818606,0.07650584926179488
-1.38,0.14971747118104572,0.11055184017559253,0.08617124119685649,0.07587852781818197
-1.3699999999999997,0.14937289598493222,0.10980370052598866,0.08549020579309366,0.07526259147224451
-1.3599999999999999,0.14903059905110852,0.10906710931667289,0.08482120319818044,0.07465779654924962
-1.3499999999999996,0.14869059396467244,0.10834187787588677,0.08416398671246983,0.07406390616740854
-1.3399999999999999,0.14835289387033407,0.10762782139887604,0.08351831621475535,0.0734806900164086
-1.3299999999999996,0.14801751148075568,0.10692475886645626,0.0828839579592158,0.07290792414437065
-1.3199999999999998,0.14768445908484054,0.10623251296526025,0.08226068437963076,0.07234539075287119
-1.3099999999999996,0.14735374855596664,0.10555091000964448,0.0816482739005737,0.07179287799968236
-1.2999999999999998,0.14702539136016393,0.10487977986523277,0.08104651075530506,0.07125017980890237
-1.29,0.1466993985642316,0.10421895587407315,0.08045518481009804,0.07071709568816255
-1.2799999999999994,0.14637578084379366,0.10356827478138451,0.07987409139474339,0.0701934305526132
-1.2699999999999996,0.14605454849129068,0.10292757666386919,0.07930303113898896,0.06967899455540456
-1.2599999999999998,0.14573571142390457,0.10229670485956537,0.07874180981468139,0.0691736029243907
-1.25,0.1454192791914159,0.10167550589921631,0.07819023818338783,0.06867707580480022
-1.2399999999999993,0.1451052609839907,0.10106382943912946,0.07764813184928378,0.06818923810762567
-1.2299999999999995,0.14479366563989596,0.10046152819550141,0.07711531111710435,0.06770991936349843
-1.2199999999999998,0.14448450165314103,0.09986845788018198,0.07659160085496243,0.06723895358182375
-1.21,0.14417777718104488,0.09928447713785295,0.07607683036184877,0.06677617911496324
-1.2000000000000002,0.14387350005172636,0.0987094474845954,0.07557083323963391,0.0663214385272603
-1.1899999999999995,0.14357167777151725,0.0981432332478199,0.07507344726940152,0.06587457846871377
-1.1799999999999997,0.14327231753229666,0.0975857015075349,0.07458451429194911,0.06543544955311383
-1.17,0.14297542621874487,0.09703672203892678,0.07410388009229889,0.0650039062404625
-1.1600000000000001,0.1426810104155169,0.09649616725622755,0.07363139428806888,0.064579806723509
-1.1499999999999995,0.14238907641433388,0.09596391215784433,0.07316691022155948,0.06416301281823794
-1.1399999999999997,0.142099630220992,0.09543983427272655,0.07271028485541842,0.06375338985815512
-1.13,0.14181267756228783,0.09492381360794513,0.07226137867175006,0.06335080659222275
-1.12,0.1415282238928596,0.09441573259746062,0.0718200555745441,0.0629551350863027
-1.1099999999999994,0.141246274401944,0.09391547605205518,0.07138618279530036,0.06256625062797183
-1.0999999999999996,0.14096683402004787,0.09342293111040527,0.07095963080173388,0.06218403163458036
-1.0899999999999999,0.14068990742553386,0.09293798719127076,0.0705402732094478,0.06180835956442835
-1.08,0.1404154990511206,0.0924605359467784,0.07012798669646712,0.06143911883094258
-1.0699999999999994,0.1401436130902965,0.09199047121677553,0.06972265092052979,0.06107619671973958
-1.0599999999999996,0.13987425350364707,0.09152768898423254,0.06932414843903682,0.06071948330846627
-1.0499999999999998,0.13960742402509538,0.09107208733167109,0.0689323646315656,0.06036887138931383
-1.04,0.13934312816805614,0.09062356639859673,0.06854718762485629,0.060024256394105406
-1.0299999999999994,0.13908136923150258,0.09018202833991427,0.06816850822018303,0.05968553632186178
